,AAA_WB_ADM0_NA,SoL_20120119,SoL_20120401,SoL_20120701,SoL_20121001,SoL_20130101,SoL_20130401,SoL_20130701,SoL_20131001,SoL_20140101,SoL_20140401,SoL_20140701,SoL_20141001,SoL_20150101,SoL_20150401,SoL_20150701,SoL_20151001,SoL_20160101,SoL_20160401,SoL_20160701,SoL_20161001,SoL_20170101,SoL_20170401,SoL_20170701,SoL_20171001,SoL_20180101,SoL_20180401,SoL_20180701,SoL_20181001,SoL_20190101,SoL_20190401,SoL_20190701,SoL_20191001,SoL_20200101,SoL_20200401,SoL_20200701,SoL_20201001,SoL_20210101,SoL_20210401,SoL_20210701,SoL_20211001,SoL_20220101,SoL_20220401,SoL_20220701,SoL_20221001,SoL_20230101,SoL_20230401,SoL_20230701,SoL_20231001,SoL_20240101,SoL_20240401
10,Armenia,150156.7091064453,93642.53955078124,88685.85903167725,113736.2900390625,134678.60876464844,87864.80882263184,63125.02012634277,103008.72055053712,99399.79858398438,93276.91166687012,65615.10029602051,114960.08261108398,93599.76904296876,92711.40956115724,49047.589263916016,82377.09957885742,129932.24880981444,74903.86895751953,41178.16024017334,90558.71948242188,156287.2250366211,71581.2004776001,67396.38066864014,108225.4289855957,100717.7381439209,72558.64053344727,65119.59088897705,80695.57806396484,148765.99923706055,78473.52821350098,60593.839096069336,110672.33115386964,107215.53201293944,83619.35868835449,101397.1610107422,104874.31936645508,163738.1695098877,97245.2898864746,116777.24964904784,102753.54922485352,213761.0157470703,118149.97903442384,112919.62982177734,119663.45028686523,163282.94686889648,119247.59057617188,141820.89004516602,158843.5587463379,221239.1591796875,165896.14794921875
11,Aruba (Neth.),4176.4599609375,4220.75,3867.5,274.41998291015625,4121.0703125,3963.39990234375,3955.469970703125,4173.51025390625,4394.3701171875,3882.39990234375,3778.1201171875,4409.740234375,4142.5302734375,4653.9697265625,4493.0703125,4491.8603515625,4377.1103515625,4548.259765625,4764.0703125,5116.0,5649.26953125,5782.60986328125,6231.580078125,6310.34033203125,6019.2802734375,6061.7001953125,5639.1201171875,6071.41015625,6418.1201171875,6208.6201171875,6476.2802734375,6477.19970703125,7059.83984375,6040.35986328125,7056.919921875,7259.06982421875,6611.3095703125,6586.23974609375,6849.4599609375,6843.5498046875,7648.47998046875,6492.39013671875,6994.76953125,7282.57958984375,6646.8798828125,7153.9599609375,6942.1796875,7126.9501953125,6935.740234375,7626.08984375
12,Arunachal Pradesh,3781.469905853272,6892.489906311035,2053.6200268268585,6433.459854125977,3260.630111694336,5671.990367889404,3312.3301696777344,7596.849731445312,3161.719982147217,7412.790199279785,4944.800086975098,6529.879943847656,3114.9500732421875,7362.799728393555,5979.459907531738,5594.540069580078,2530.670009613037,4102.829929351807,3284.590000152588,5310.189895629883,3041.0699920654297,4839.630107879639,3934.4800300598154,6204.329856872559,2578.7900791168213,5775.099899291992,3427.2898139953613,5728.079818725586,2622.6099739074707,4561.359893798828,2758.8600997924805,5405.639991760254,1268.9099688529968,6416.459716796875,4967.160078048706,4875.359912872314,3771.650173187256,6408.27954864502,5513.870056152344,6788.390251159668,4748.689895629883,6358.890228271484,4327.519958496094,5695.779876708984,5021.709991455078,7654.380111694336,5756.2499923706055,8572.139907836914,5731.77986907959,6791.680114746094
13,Ashmore and Cartier Islands (Aus.),3.7099997997283936,2.0199999809265137,0.8600000143051147,1.4500000476837158,0.6600000262260437,1.5099999904632568,0.6199999451637268,1.5899999141693115,0.959999978542328,1.7799999713897705,0.6600000262260437,1.7100000381469729,2.1499998569488525,1.5399999618530271,0.6800000071525574,1.4800000190734863,0.9600000381469728,1.1399999856948853,0.5699999928474426,1.3199998140335083,1.2200000286102295,1.2599999904632568,0.4799999892711639,1.830000042915344,1.4600000381469729,1.6399999856948853,0.75,1.0499999523162842,0.5799999833106995,1.25,0.3400000035762787,1.290000081062317,0.5799999833106995,1.7100000381469729,0.7199999094009399,1.409999966621399,1.5,2.0400002002716064,0.5900000333786011,1.75,1.6200000047683716,1.909999966621399,0.6800000071525574,1.3399999141693115,1.3200000524520874,1.920000076293945,1.170000076293945,2.150000095367432,2.059999942779541,2.1700000762939453
14,Australia,13047377.247117996,16267147.509288788,9226824.627326012,20644160.920232773,11758688.8870883,13578973.005199432,8888949.315361023,11370928.75603199,9332035.882339,15184058.975374222,6867549.015681744,17626351.90883255,9626103.811253428,14830319.96193409,7152509.704134941,11535929.567874908,7418223.304225922,12005090.988332748,6554567.211194515,9813900.845208168,5866115.726465702,10305471.805335045,6029168.40702033,11968392.12398529,7001586.296494484,13570438.978319168,6266070.70927763,9348054.185462952,5454354.085402966,10201623.484411716,4966002.371230841,8508070.248164177,3259285.5429952145,14337577.750076294,8425646.657002449,10153734.00161457,9329046.944893122,14512278.98851776,8005422.47482872,12426163.103023527,10709009.15378189,15381153.34332466,4883744.894827843,12711937.03418827,10802891.382164955,15464575.987352371,10280695.566536903,22237582.19396782,10747442.75547409,15509906.621711733
15,Austria,696866.8884277344,566256.7993469238,570561.7972412109,493176.6904296875,702883.7709960938,525367.8114624023,511086.2878112793,490437.0858306885,509650.2800064087,557604.6865234375,471010.6924133301,571896.3909759521,663835.6402587891,570948.0901184082,535223.5754699707,418123.0036849976,756650.2509918213,531000.9996337891,482218.0419616699,521451.7041015625,710208.0885314941,538691.2460632324,530121.5925292969,560437.7376403809,578835.1851043701,592966.7578430176,508758.6803894043,491936.82345581055,694043.6772766113,532959.5531311035,540067.9500732422,522805.7649536133,460906.5989532471,510030.9782714844,593406.668182373,469179.2099609375,876504.3449859619,555062.0691833496,664731.5183410645,499091.7925720215,699358.8985443115,559347.3736877441,654878.7722473145,507802.6676025391,744414.8802185059,534394.1758728027,613147.6292724609,529941.5604553223,799139.2416405678,590233.929763794
16,Azerbaijan,466424.5754928589,434193.8795433045,469736.3736228943,511902.61780929565,459217.4525146485,427844.0458831787,397613.3295917511,487998.1147136688,381843.1363143921,427574.6157855988,382136.6042194367,473390.8605918884,403467.9195594788,409969.1870326996,363514.2130527496,357182.3999595642,429576.2733230591,360458.7850990296,325973.12061309814,443458.9678688049,426361.3665122986,371516.7562808991,378074.2196121216,470345.8332862854,314170.64698791504,353541.0011463165,357648.8227958679,367071.0831184387,393636.26164245605,352701.605758667,362380.19194602966,503430.9111423493,345740.5220222473,378860.7965488434,442833.8852653504,435547.12360572815,415739.98562431335,407794.7926673889,467916.5228118897,388503.3848400116,497581.14001846313,467820.0799293518,473193.3659610748,461157.86935043335,554675.482498169,463599.3420219421,546987.2744255066,500887.4799537658,690289.2149238586,562841.691329956
17,Azores Islands (Por.),23562.539554595947,24263.47055053711,21452.72998046875,21950.790000915527,20278.6897354126,19673.629989624023,15505.989604949951,19946.05973815918,21761.760498046875,19099.62040710449,16507.240478515625,22724.400329589844,20342.210121154785,22692.729946136475,18216.62006378174,19503.189975738525,20259.009803771973,19538.64988708496,18072.46992874145,20834.96035003662,18358.460067749023,18209.529808044437,20018.419731140137,20435.609939575195,16346.829944610596,15463.869899749756,18927.110076904297,19264.230041503903,15919.539859771729,18231.59999847412,16899.95962524414,16539.720054626465,13754.219928741457,16534.5394821167,18049.00991821289,16027.009635925291,14080.84977722168,16011.280261993408,17211.140014648438,13976.069854736328,17021.799697875977,15929.160053253174,13953.690292358398,14556.569721221924,16422.010177612305,15232.089710235596,16337.529914855955,15698.999893188477,14934.509956359863,14513.55014038086
18,Bahrain,154513.9407043457,157403.8913269043,142262.9493713379,168438.75396728516,191251.77536010745,153067.32104492188,145867.95211791992,173346.4774169922,161869.1796875,166166.06756591797,161618.90789794922,168042.52313232422,178200.4063720703,167472.18096923828,164615.47332763672,161526.54107666016,181944.09899902344,183337.94451904297,172232.1024169922,177174.39044189453,173639.04278564453,174507.21612548828,180507.82489013672,184957.4938964844,190798.1473388672,163647.54818725586,176382.29278564453,182647.04614257807,200974.8023681641,190307.6669006348,200565.18927001956,195155.84979248047,229082.3363647461,184850.161315918,208770.39422607425,234563.55798339844,228813.40954589844,216832.15655517575,191653.15948486328,201681.01489257807,213196.73919677731,218986.50970458984,192022.4741821289,211261.57543945312,198187.6019287109,211003.09674072263,200814.76135253903,200572.9028930664,230354.68322753903,212366.078125
19,Baker Island (U.S.),1.2100000381469729,1.409999966621399,0.949999988079071,1.2899999618530271,0.6299999952316284,1.8000000715255735,0.940000057220459,1.3000000715255735,0.9800000190734864,1.5600000619888306,1.0,1.6099998950958252,0.6200000047683716,1.579999923706055,1.53000009059906,1.2799999713897705,0.7700000405311584,1.630000114440918,0.8200000524520874,1.5399999618530271,0.5899999737739563,1.940000057220459,0.5,1.5800000429153442,0.6600000262260437,2.069999933242798,1.190000057220459,1.2599999904632568,0.0099999997764825,1.5,0.6800000071525574,0.9199999570846558,0.0799999982118606,1.7699999809265137,0.8999999761581421,1.8900001049041748,0.959999978542328,1.4800000190734863,0.64000004529953,1.7999999523162842,0.8399999737739563,1.649999976158142,0.4099999666213989,1.790000081062317,0.9100000262260436,2.480000257492065,0.8600000143051147,2.289999961853028,1.190000057220459,2.370000123977661
20,Bangladesh,410316.18841552734,495957.2184448242,164471.71867370603,477534.5590209961,331669.3486328125,464875.6953125,163043.71041870117,496232.7630615234,365554.3807678223,509026.4345703125,329590.6608276367,501619.4597167969,412115.8631286621,543230.19140625,411698.9270629883,481143.6765136719,356396.3619995117,422081.3012084961,323577.3766479492,433419.79888916016,417437.2008972168,437246.6965332031,283954.24032592773,535834.8485107422,381319.05044555664,518377.2843017578,303780.1691894531,456012.6285400391,411229.17889404297,457403.5755615234,251613.5804138184,489463.6955566406,315719.8691444397,613151.5303955078,249654.0882263184,457738.5493164063,439943.3660888672,610089.9927978516,428885.0462036133,568041.1687011719,568673.3460693359,620338.0313720703,536422.1678466797,545441.3890991211,572389.0407714844,691527.0786132812,494286.0490722656,672502.0913085938,549614.7476806641,682452.4757080078
21,Barbados,11581.920166015623,10796.999908447266,9139.59016418457,10524.939987182615,10219.669708251951,10930.720077514648,9395.240219116213,8969.120056152344,9868.440017700195,10131.869689941406,8984.31999206543,9601.720108032228,9585.889938354492,9604.219757080078,9381.88003540039,9671.849960327148,9345.290069580078,10226.630142211914,8565.019882202148,9811.600128173828,9421.809783935549,10512.710083007812,9713.709686279297,10360.399948120115,9009.2300491333,9905.049926757812,8840.61994934082,9523.820037841797,10436.489807128906,11165.300186157228,9552.520111083984,9997.360153198242,9759.93995666504,9524.999755859377,9173.390182495115,9933.949966430664,9294.28010559082,9527.259963989258,8581.130294799805,10009.94012451172,10848.849868774414,10089.669738769531,8885.979873657227,9854.369934082031,9953.309844970703,11449.75993347168,9404.14015197754,10913.639862060549,9697.099853515623,11365.84945678711
22,Belarus,2103476.0654296875,914693.6082763672,1290138.2854003906,975115.32421875,1730512.3361816406,1157449.9548339844,1974364.3383789065,872475.7150878906,1153382.5897216797,967514.8957519532,1360865.2084960938,1192923.5275878906,1481043.600830078,862489.5031738281,1440190.0300292969,748244.8026123047,1947721.5861816409,928514.8918457032,1591778.09375,891755.8764648438,1228687.8603515625,768667.3853759766,1041262.3037109376,814208.1044921875,1190997.8464355469,912049.2335205078,1751499.800048828,735512.7136230469,1573769.520263672,918823.5863037108,1557274.2456054688,746531.12109375,483382.71197509766,462120.41583251953,1562492.5510253906,912304.271118164,2072349.560546875,603332.3179321289,2159181.0576171875,817602.0207519531,1485196.4111328125,775457.6587524414,1852333.8784179688,989942.5509033204,849920.4483642578,820703.7072753906,1823617.92578125,955601.6733398438,2581344.680419922,899885.4869384766
23,Belgium,857497.80859375,1142486.71875,1053091.712890625,1084855.87890625,1593404.55859375,1128955.9453125,1184478.18359375,1082876.82421875,986474.955078125,1191721.26171875,1090663.90625,1061202.25390625,1196015.73828125,1249488.953125,936664.427734375,948253.240234375,1107432.1953125,1177455.33984375,1066498.00390625,1052333.0390625,1112095.34375,1197457.39453125,1090993.28515625,969712.298828125,900168.08203125,1151502.625,1090556.7578125,1084686.40625,817835.75,1103974.59375,1127725.89453125,785626.857421875,757943.755859375,1089810.125,1115559.4609375,961576.505859375,922028.130859375,1126207.20703125,1017240.20703125,965133.92578125,873968.37890625,994942.2421875,1116912.7109375,959491.71484375,733751.8671875,837694.2109375,869911.4619140625,840439.4765625,1037866.478515625,821215.236328125
24,Belize,35787.239990234375,56444.11962890625,39690.88916015625,46398.12060546875,27518.2392578125,55429.21923828125,40159.818115234375,38058.6796875,31237.99951171875,61322.10009765625,39648.610595703125,47694.5712890625,29675.37084960937,62280.46826171875,41155.6015625,51205.390625,26593.74975585937,49597.58984375,36406.6513671875,51943.1708984375,28554.66967773437,47141.849609375,31110.90966796875,53164.31005859375,29201.370361328125,47983.5908203125,33517.1806640625,47587.4599609375,20773.700439453125,47672.79150390625,34805.14013671875,48760.68017578125,15846.4990234375,52750.990234375,40032.71875,46529.009765625,29331.37060546875,51527.66796875,46635.810546875,47925.59033203125,36062.381103515625,56902.509765625,40259.420166015625,53949.4970703125,40035.6904296875,77137.96044921875,47655.16748046875,56282.34912109375,40698.5400390625,67688.01123046875
25,Benin,172188.77194213867,291106.0256958008,146963.92016601562,160393.19064331055,125897.0181427002,167107.08987426758,133683.3631439209,166460.55865478516,159606.1512145996,178155.93676757812,124011.9698791504,151226.11207580566,159826.51121520996,197253.93437194824,138180.8236694336,167613.45831298828,131296.5418624878,156814.5814819336,129560.39302062988,160072.8125,121065.6789855957,192088.68728637692,100287.70024108888,237168.46063232425,117688.18141937256,158030.1619873047,154634.11013793945,187011.30819702148,64924.8890171051,115785.58150482178,79702.7894897461,150310.7404937744,84650.33895874023,204872.03829956052,134381.84284973145,213993.2565307617,213906.291305542,201995.8794403076,160934.54124450684,212331.25689697263,189335.3146514893,233722.49963378903,117608.16764831544,260734.02374267575,150108.78219604492,262701.1110229492,165900.67254638672,254421.49157714844,183717.3313903809,269964.4135131836
26,Bermuda (U.K.),2580.760009765625,2752.2998046875,2359.14990234375,2313.219970703125,1643.2000732421875,2210.02978515625,2588.289794921875,2297.60986328125,2161.949951171875,2136.880126953125,2257.27001953125,2003.02001953125,2068.260009765625,1926.22998046875,2110.360107421875,2027.169921875,1937.780029296875,1793.1400146484375,1912.06005859375,1860.5999755859373,1940.5,1857.340087890625,2048.06982421875,1720.080078125,1355.889892578125,1723.159912109375,1879.2900390625,1795.3800048828125,1605.8699951171875,1816.9500732421875,1798.8599853515625,1832.550048828125,1614.1700439453125,1587.119873046875,1704.340087890625,1720.9901123046875,1644.16015625,1443.260009765625,1884.8299560546875,1525.10986328125,1381.1199951171875,1480.2999267578125,1853.0999755859373,1717.4000244140625,1572.9200439453125,1755.130126953125,1754.719970703125,1745.3399658203125,1254.7601318359375,1652.630126953125
27,Bhutan,53064.15040683746,94541.03000354768,42376.59995883703,95772.2605895996,46753.68035078049,87327.5390367508,47193.1303358078,104374.83913993835,41864.9799489975,96622.6099472046,65769.61989593506,90662.4017868042,47401.0702457428,110597.43985176086,77291.35974884033,74229.45930480957,39630.600083351135,59296.86954402924,36006.37007969618,74786.35948181152,43874.69004058838,65684.01963233948,60332.059284210205,89106.9403629303,35680.80022907257,79057.12021827698,49569.28943347931,77276.55994987488,31653.89009141922,66820.90914535522,45783.19045829773,72587.30924606323,14175.029937267303,89379.81009197235,65468.97006678581,68780.29868221283,47068.140407562256,82393.90069389343,85560.20090198517,90062.48090839386,59731.01886463165,94973.62029457092,64147.139830589294,74176.63893604279,63023.76955795288,99035.02977752686,44187.64008378983,107572.25930786131,73059.26906776428,106952.0194416046
28,Bolivia,1312270.2623443604,1767983.053894043,1088299.2772216797,1558104.1370239258,1273319.4706420898,1724514.3261108398,938215.7516479492,1357534.408996582,1228647.0716552734,1663780.692779541,911876.7817382812,1838610.84576416,1399512.8141784668,1899388.4927368164,1083711.101989746,1818734.5642089844,1389539.8544921875,1575006.6711120603,965954.835205078,1643189.0362548828,1422072.8876953125,1666059.3495483398,759097.7848205566,1870989.249084473,1435764.1170654297,1923431.381958008,1049597.8653564453,1486321.3245544434,946901.7218017578,1293520.2011108398,750120.9095153809,1216702.0456542969,783459.0372161865,2059361.8743896484,1222339.7972106934,1978744.3901367188,1571696.1651611328,1991784.44732666,1333192.6780395508,1941887.622680664,1616588.9872436523,2277093.296875,1026442.03125,2077236.385925293,1932268.171447754,2149023.047668457,1384036.099243164,2693641.775695801,2221549.1091918945,2367443.1489868164
29,Bonaire (Neth.),1184.0699462890625,1217.3599853515625,1170.52001953125,200.3700256347656,1054.56005859375,1405.340087890625,1301.27001953125,1240.1500244140625,1166.559814453125,1363.18994140625,1179.7900390625,1479.679931640625,1213.800048828125,1587.18994140625,1485.3699951171875,1433.0899658203125,1202.699951171875,1478.080078125,1409.8699951171875,1349.5400390625,1345.849853515625,1662.14990234375,1466.18994140625,1599.25,1314.35009765625,1779.0999755859375,1517.97998046875,1736.760009765625,1453.360107421875,1477.320068359375,1439.5999755859375,1484.52001953125,1457.030029296875,1634.7698974609375,1664.6201171875,1719.320068359375,1476.8900146484375,1706.8499755859375,1752.429931640625,1882.31005859375,1758.3499755859375,2000.7799072265625,2087.97998046875,1979.830078125,1795.8499755859375,2305.10009765625,2223.97998046875,2381.60986328125,2148.7099609375,2684.16015625
30,Bosnia and Herzegovina,358965.8844203949,237116.135342598,228384.39546775815,256819.7351360321,234453.4529466629,237731.08597660065,200405.97098970413,239154.4084005356,257062.96757888797,255608.28636932373,182143.95947623253,270006.6087703705,295628.46914863586,254119.60979175568,193304.84713363647,183565.1416053772,394619.42604637146,232726.87350463867,201857.55611038208,248115.01662635803,404464.2009677887,239434.8613119125,217558.38647270203,286105.71099090576,282170.2618312836,243347.5126953125,181142.0137076378,218041.3992614746,352006.8162689209,273102.3346090317,225789.93031024933,257103.18795013428,234595.41065216064,250555.3359594345,258304.18755340576,244270.76355934143,512806.9482002258,281258.79727363586,287258.8880739212,245466.39588737488,328296.68875312805,325064.4578971863,281211.171415329,281669.02716732025,306572.1374311447,314398.80274391174,309539.9172153473,294155.1688899994,510064.1670341492,322350.7639245987
