,AAA_WB_ADM0_NA,SoL_20120119,SoL_20120401,SoL_20120701,SoL_20121001,SoL_20130101,SoL_20130401,SoL_20130701,SoL_20131001,SoL_20140101,SoL_20140401,SoL_20140701,SoL_20141001,SoL_20150101,SoL_20150401,SoL_20150701,SoL_20151001,SoL_20160101,SoL_20160401,SoL_20160701,SoL_20161001,SoL_20170101,SoL_20170401,SoL_20170701,SoL_20171001,SoL_20180101,SoL_20180401,SoL_20180701,SoL_20181001,SoL_20190101,SoL_20190401,SoL_20190701,SoL_20191001,SoL_20200101,SoL_20200401,SoL_20200701,SoL_20201001,SoL_20210101,SoL_20210401,SoL_20210701,SoL_20211001,SoL_20220101,SoL_20220401,SoL_20220701,SoL_20221001,SoL_20230101,SoL_20230401,SoL_20230701,SoL_20231001,SoL_20240101,SoL_20240401
0,Afghanistan,1680931.9995880127,1568067.5758895874,1478918.9794311523,1836293.0737304688,1283038.413131714,1393010.5715026855,1059536.8493881226,1760665.668762207,1186025.2325515747,1412217.6601715088,991430.1158294678,1712565.387466431,1256496.4859924316,1560954.8194122314,1170296.4680480957,1243520.7118377686,946820.672416687,997096.5081176758,858425.5897750854,1551857.863861084,1285954.1279296875,1041440.645462036,1219347.7345733645,1770193.8958129885,822247.0128326416,1042994.0480499268,1073052.727218628,1336151.7210998535,881964.2397155762,1052771.7184829712,886487.2368469238,1415157.6925964355,609304.7070770264,1119399.2421798706,1172300.8203430176,1298058.6908111572,1087134.9778671265,1303551.390045166,1447804.285507202,1642333.9043121338,1306469.0395050049,1496331.7407989502,1276552.646270752,1362995.8894958496,1470551.315490723,1467819.431274414,1453221.6835632324,1647246.917816162,1466197.949066162,1553664.0693206787
1,Albania,169623.50928497314,154048.56880950928,133746.69010162354,158053.67098236084,147922.5297241211,157836.92876815796,118808.11901855467,163146.209815979,147466.7196006775,150923.5606689453,116518.03036689758,170103.4807395935,168092.21985054016,148586.70069885254,102260.16031455994,116281.78948402403,143853.1295890808,121809.2893600464,91217.9004611969,130177.98985290527,145132.20038986206,130243.730884552,121886.75000190736,168411.18090438843,142061.81935882568,129753.27025604248,110127.15961074828,135088.1004447937,167271.70037460327,147534.20877456665,115196.93962860107,159966.15926742554,128623.46953392027,150633.16054153442,164286.3085861206,156101.36959457395,172930.9991798401,148191.4296836853,166713.7093925476,170487.38918685913,189960.54080963132,179139.3611984253,167585.01983261108,182304.31964874268,195627.81893062592,192828.68878555295,195082.69873046875,197904.45008850095,242343.06076812744,217805.2601966858
2,Algeria,7092335.394142151,8016117.694885254,7234762.361000061,7567853.11164093,6634711.964813232,7697829.778297424,6956299.233726501,8379035.998382568,6144430.509750366,7913442.778411865,7322882.766807556,9440315.479873655,6442207.84664917,8749857.192756653,7533683.806938171,7448138.980102539,7361447.462867737,7485099.522399902,7347880.311401367,7484863.135986328,7258021.106925964,7354223.328605652,6605140.283401489,8740192.288085938,6912988.849205017,7684503.809921265,7510021.004318237,6535318.999214172,5018713.622879028,7208563.613777161,6264208.322601318,7654063.853927612,5312426.718399048,7939797.028289795,7040553.647705078,7161923.124351501,6689539.345603943,7578591.065582275,7363535.24156189,7455207.949569702,6612992.114341736,8388764.570098877,6809461.640922546,8231630.26550293,7640090.775283813,9124545.245147703,7826967.14352417,9558027.293487549,8765758.971084595,8795321.59602356
3,American Samoa (U.S.),1339.830078125,1706.2998046875,1269.25,1671.3199462890625,1333.5699462890625,1586.300048828125,1478.83984375,1697.050048828125,506.30999755859375,1680.6199951171875,1371.6099853515625,2104.18994140625,2037.89990234375,1774.679931640625,1682.89013671875,900.8299560546876,1681.2100830078125,1959.7000732421875,1813.5001220703125,2046.5999755859373,1777.6500244140625,1958.989990234375,1547.39990234375,1954.869873046875,1925.6998291015625,1692.9801025390625,1763.739990234375,1598.1700439453125,1570.989990234375,1854.6600341796875,1241.8900146484375,1490.7698974609375,1407.77001953125,1639.010009765625,1258.199951171875,1790.050048828125,1574.0401611328125,1625.89990234375,1207.300048828125,1614.47998046875,1606.010009765625,1557.8900146484375,1148.7899169921875,1659.0001220703125,1559.4600830078125,1661.239990234375,1226.219970703125,1354.39990234375,1732.800048828125,1753.179931640625
4,Andorra,10147.0,8902.1201171875,8377.659881591797,8687.470123291016,12321.519470214844,9123.820098876951,8346.329986572266,8498.159881591797,9703.869934082031,8628.960144042969,7383.4696044921875,8439.970031738281,9827.389770507812,7694.68994140625,7080.670013427734,7540.579986572266,9241.049926757812,7634.640045166016,7524.669830322266,7952.349792480469,10848.919982910156,8341.210327148438,7254.630187988281,8177.110137939453,10202.319885253906,6768.400146484375,6794.899963378906,5453.210052490234,9933.880126953123,8377.530212402344,7399.580017089844,7839.869934082031,9943.130065917969,4793.270050048828,7674.4000244140625,7692.839904785156,12679.209533691406,8225.079711914062,8045.299865722656,8175.869720458984,10456.72003173828,9428.819793701172,7675.579742431641,6329.320007324219,9999.139770507812,5354.180114746094,5178.380035400391,5987.369995117188,8587.450012207031,6859.290069580078
5,Angola,1558291.7079925537,2378827.844696045,1618998.7381896973,1884607.876617432,1290379.9469551146,1831047.0436706543,1421818.181274414,1956256.0289611816,1503402.2224464417,1769272.3896484375,1413194.342010498,2105110.3114624023,1610056.1660461426,1675999.8606891632,1404949.6092529297,1845040.1827392576,963443.9905395508,1837822.558400631,1304702.410293579,1713958.270904541,1217534.8905944824,1920656.703735352,930105.4262313844,2125305.7150268555,1436313.557861328,1684190.9183044434,1161186.3024597168,1724137.3330078125,792935.0244598389,1436491.2014770508,1271659.723236084,1329121.6048431396,667771.0376358032,1722978.0867614746,1710332.2431640625,2260452.6434936523,1539311.740234375,2224228.0290527344,1648422.6657714844,2007893.7564697263,1434825.4391784668,2071658.1396484373,1342951.880722046,2398002.9310913086,1621679.4247436523,1973521.2213134768,2164083.849243164,2560639.253173828,1865557.0123291016,2745440.8627319336
6,Anguilla (U.K.),1268.830013692379,1296.569999217987,1132.290006399155,1072.0999794006348,1002.5900094509124,1375.39000082016,1081.2799960374832,1136.1200029850006,1202.179967045784,1226.220004081726,1179.519991159439,1199.2099846601486,1182.6000212430954,1339.4599832296371,1259.6400310993197,1245.4699811935425,1245.1400160491469,1308.0100178718567,1201.6300010681152,1254.4599643945694,1259.1500234603882,1416.4800317287445,1258.8899651765823,314.5400075912476,639.0299888253212,916.0299829244614,839.8000109195709,935.1900033950806,984.6899992227554,1124.3300156593325,1128.4300144314766,1000.2700061798096,902.11002060771,1008.220013141632,966.2899956703186,1062.689999103546,1100.1899847984314,1250.5299592018127,1114.1099783182144,1060.1500070095062,1165.7700190544128,1198.0399613380432,1080.5099759101868,1047.99999833107,1013.4200063943864,1265.0499572753906,1137.18001806736,1102.5099722146988,1040.6900058984756,1026.3200262784958
7,Antigua and Barbuda,6548.509942650795,6549.010134220123,5580.809955358505,6204.330029249191,5343.979916989803,6217.10003900528,5656.21987426281,5389.99006831646,5804.070048809052,6144.830297827721,5676.899935364723,6144.800274610519,6293.200035393238,6767.660163521767,5870.199981689453,5930.230029225349,5173.949934095144,6425.599875450134,5728.740018308163,5732.549828469753,5976.099957883358,6099.780012130737,5837.549903571606,5640.4899389743805,5222.040080547333,5611.639985322952,5333.309951782227,5051.32999509573,4965.329926148057,5737.690053701401,4988.810182511807,4856.650043964386,4618.279994506389,5066.089873075485,4717.069999337196,4983.680253982544,4715.490062236786,5334.67988049984,5008.200159907341,5489.289909720421,5432.940013408661,5855.699939012528,5237.799868762493,6119.029830336571,6345.899741232395,7472.249855995178,6560.219969511032,6443.4100024700165,6205.450076878071,6709.690155029297
8,Arab Republic of Egypt,5120738.834838867,6259612.009765625,5343546.880981445,5765096.49609375,4912528.645385742,5389461.177124023,4676975.268066406,5538155.052734375,4283333.912475586,5309562.314331055,4472440.330444336,5613709.306640625,4197220.204956055,5617731.897216797,4720597.276245117,4971031.787109375,4239658.002075195,4750567.976806641,4563582.635498047,5167790.154052734,4256846.497314453,5081303.035644531,4581396.3486328125,5714722.46875,4156724.0993652334,4927442.9140625,4461436.5126953125,4831613.476074219,4155114.4174804688,4887587.740234375,4464737.705566406,5149910.488525391,3703030.4865722656,5235765.830566406,4653229.59765625,4830614.870117188,4379205.642578125,5721135.350341797,5261192.572265625,5645430.519287109,4561772.056640625,6155755.479492188,4930513.353515625,5092825.380371094,4840064.211181641,6239563.089355469,4896742.841796875,5714594.112792969,5051856.572753906,5796118.4501953125
9,Argentina,7481053.403772652,10741157.732646346,7738600.846601129,8037625.537355781,7833317.030422509,9815763.747277616,7649959.897700429,8598432.450603843,7776436.613332748,9539457.853874443,8016309.665122032,9122298.297563136,6753638.027243584,10794018.581284525,7386134.777784824,7795095.689478338,8141920.230661511,8182610.508717477,5899498.122089744,7222073.810799301,7855222.428821444,8067908.492792189,6470362.587939382,8035280.441185832,8460114.615718365,8385081.005938888,6770547.287732542,6984806.927388281,6222052.8299001455,8354056.88372308,6528327.684228897,6862084.695374191,5521004.256270707,9534525.908216951,7597379.671227038,7459207.693028331,8743053.285356522,9173793.216764092,7219856.34367615,7738275.156439304,9274261.158781052,11048936.231271029,6717140.990967661,8543892.61728704,10055020.268412111,10266025.875497818,9336266.643999338,9793826.475702403,10153409.82812357,10332793.977306483
